[ ERROR_CONTEXT : Header : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(121)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(407)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(130)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(393)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(130)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(393)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(138)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(383)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header Recv : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(121)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(407)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(130)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(393)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header Recv : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(130)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(393)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(138)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(383)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(138)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(383)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(145)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(373)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(145)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(373)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(150)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(364)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header Recv : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(138)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(383)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(145)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(373)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header Recv : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(145)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(373)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(150)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(364)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(150)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(364)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(157)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(355)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(157)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(355)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(163)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(344)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header Recv : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(150)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(364)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(157)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(355)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header Recv : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(157)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(355)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(163)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(344)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(163)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(344)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(170)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(334)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(170)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(334)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(176)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(324)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header Recv : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(163)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartY : ErrCode(344)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndX : ErrCode(170)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->EndY : ErrCode(334)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : Header Recv : ErrCode(16)    |    ERROR_TIME : 17:04:36 ] 
[ ERROR_CONTEXT : pPack->StartX : ErrCode(170)    |    ERROR_TIME : 17:04:36 ] 
